name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Miami Heat,1/16/2013,2012,1966,1610612748,400278299,3,9,22,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,-4,-5,,,,,
LeBron James,Miami Heat,1/17/2013,2012,1966,1610612748,400278303,1,10,24,1,Alley Oop Dunk Shot,2PT Field Goal,1,Los Angeles Lakers,-16,9,,,,,
LeBron James,Cleveland Cavaliers,3/27/2018,2017,1966,1610612739,400975856,3,0,59,1,Alley Oop Dunk Shot,2PT Field Goal,1,Miami Heat,-10,11,0,0,,0,0
LeBron James,Cleveland Cavaliers,12/21/2014,2014,1966,1610612739,400578693,4,10,11,1,Alley Oop Dunk Shot,2PT Field Goal,0,Memphis Grizzlies,0,1,0,0.3,"Pondexter, Quincy",5.4,19
LeBron James,Miami Heat,3/1/2012,2011,1966,1610612748,320301022,1,4,21,1,Alley Oop Dunk Shot,2PT Field Goal,1,Portland Trail Blazers,0,14,,,,,
LeBron James,Miami Heat,1/23/2013,2012,1966,1610612748,400278339,3,4,16,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,-4,4,,,,,
LeBron James,Miami Heat,11/6/2010,2010,1966,1610612748,301106014,1,1,24,0,Alley Oop Dunk Shot,2PT Field Goal,2,Brooklyn Nets,21,9,,,,,
LeBron James,Miami Heat,1/4/2012,2011,1966,1610612748,320104014,4,8,48,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,4,0,,,,,
LeBron James,Miami Heat,1/25/2013,2012,1966,1610612748,400278354,2,1,30,1,Alley Oop Dunk Shot,2PT Field Goal,1,Detroit Pistons,12,3,,,,,
LeBron James,Cleveland Cavaliers,1/23/2015,2014,1966,1610612739,400578935,2,6,7,1,Alley Oop Dunk Shot,2PT Field Goal,0,Charlotte Hornets,0,1,0,1.4,"Neal, Gary",9.7,22.2
LeBron James,Miami Heat,11/6/2010,2010,1966,1610612748,301106014,3,2,50,1,Alley Oop Dunk Shot,2PT Field Goal,1,Brooklyn Nets,-11,11,,,,,
LeBron James,Miami Heat,1/27/2012,2011,1966,1610612748,320127014,2,3,36,1,Alley Oop Dunk Shot,2PT Field Goal,1,New York Knicks,7,17,,,,,
LeBron James,Miami Heat,4/24/2011,2010,1966,1610612748,310424020,2,2,9,1,Alley Oop Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,1,1,,,,,
LeBron James,Miami Heat,1/25/2012,2011,1966,1610612748,320125008,4,8,58,1,Alley Oop Dunk Shot,2PT Field Goal,0,Detroit Pistons,0,3,,,,,
LeBron James,Cleveland Cavaliers,2/5/2015,2014,1966,1610612739,400579035,2,2,33,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Clippers,0,1,0,0,"Paul, Chris",3.9,21
LeBron James,Miami Heat,1/27/2012,2011,1966,1610612748,320127014,1,9,30,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,-5,7,,,,,
LeBron James,Miami Heat,2/1/2013,2012,1966,1610612748,400278405,3,9,25,1,Alley Oop Dunk Shot,2PT Field Goal,4,Indiana Pacers,-34,26,,,,,
LeBron James,Miami Heat,1/10/2012,2011,1966,1610612748,320110009,1,10,56,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,1,1,,,,,
LeBron James,Miami Heat,1/30/2013,2012,1966,1610612748,400278395,3,4,58,1,Alley Oop Dunk Shot,2PT Field Goal,2,Brooklyn Nets,24,7,,,,,
LeBron James,Miami Heat,1/29/2012,2011,1966,1610612748,320129014,1,5,1,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,2,7,,,,,
LeBron James,Miami Heat,1/29/2012,2011,1966,1610612748,320129014,1,5,42,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,1,0,,,,,
LeBron James,Miami Heat,2/3/2013,2012,1966,1610612748,400278427,1,11,22,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,9,6,,,,,
LeBron James,Miami Heat,3/1/2014,2013,1966,1610612748,400489747,3,6,55,1,Alley Oop Dunk Shot,2PT Field Goal,1,Orlando Magic,2,12,0,0.8,"Harkless, Maurice",4.3,20.1
LeBron James,Miami Heat,1/30/2012,2011,1966,1610612748,320130014,1,8,18,1,Alley Oop Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,9,3,,,,,
LeBron James,Miami Heat,3/4/2014,2013,1966,1610612748,400489773,1,4,52,1,Alley Oop Dunk Shot,2PT Field Goal,1,Houston Rockets,17,0,0,0.5,"Howard, Dwight",6.3,24
LeBron James,Cleveland Cavaliers,2/11/2015,2014,1966,1610612739,400579088,1,9,4,1,Alley Oop Dunk Shot,2PT Field Goal,0,Miami Heat,0,1,0,0.8,"Deng, Luol",2.8,20.5
LeBron James,Miami Heat,3/16/2011,2010,1966,1610612748,310316014,1,11,44,1,Alley Oop Dunk Shot,2PT Field Goal,3,Oklahoma City Thunder,29,11,,,,,
LeBron James,Miami Heat,2/1/2012,2011,1966,1610612748,320201015,3,4,38,1,Alley Oop Dunk Shot,2PT Field Goal,1,Milwaukee Bucks,4,12,,,,,
LeBron James,Miami Heat,3/15/2013,2012,1966,1610612748,400278695,3,2,0,1,Alley Oop Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,4,0,,,,,
