slang_code_word,drug,drug2,drug3,,,,,
Date Rape Drug ,Flunitrazepam (Rohypnol®) ,,,,,,,
Day ,Methamphetamine ,,,,,,,
Dead Man ,Synthetic Cannabinoids ,,,,,,,
Dead on Arrival ,Heroin ,,,,,,,
Death Valley ,Cocaine ,,,,,,,
Debs ,Amphetamine ,,,,,,,
Decadence ,Ecstasy/MDMA/Molly ,,,,,,,
Designer Jeans ,Cocaine ,,,,,,,
Detroit pink ,PCP (Phencyclidine) ,,,,,,,
Devil ,Crack Cocaine ,,,,,,,
Devil Smoke ,Crack Cocaine ,,,,,,,
Devil’s Dandruff ,Cocaine ,,,,,,,
Devil’s Lettuce ,Marijuana ,,,,,,,
